Locus_name,Model,Run_time
UCE-7012,Mixture,25.92467
UCE-6339,Single,30.307198
UCE-6339,Mixture,40.40729
UCE-7,Single,11.818633
UCE-7,Mixture,24.23586
UCE-3003,Single,18.460765
UCE-3003,Mixture,43.58106
UCE-6826,Single,60.720136
UCE-6826,Mixture,77.48274
UCE-3463,Single,30.631446
UCE-3463,Mixture,90.02082
UCE-5102,Single,338.577119
UCE-5102,Mixture,196.0923
UCE-463,Single,123.546013
UCE-463,Mixture,70.23721
UCE-2790,Single,42.010018
UCE-2790,Mixture,48.60747
UCE-3861,Single,14.451354
UCE-3861,Mixture,126.9073
UCE-4672,Single,15.74355
UCE-4672,Mixture,134.5251
UCE-4850,Single,38.985816
UCE-4850,Mixture,104.3007
UCE-7287,Single,119.280986
UCE-7287,Mixture,16.63129
UCE-6820,Single,12.454722
UCE-6820,Mixture,48.16433
UCE-3179,Single,49.155984
UCE-3179,Mixture,50.87264
UCE-3180,Single,4.89114
UCE-3180,Mixture,18.34664
UCE-2303,Single,6.106208
UCE-2303,Mixture,32.84295
UCE-5609,Single,24.711467
UCE-5609,Mixture,52.63796
UCE-5892,Single,7.03814
UCE-5892,Mixture,78.06695
UCE-2357,Single,7.182107
UCE-2357,Mixture,46.19395
UCE-2379,Single,8.560623
UCE-2379,Mixture,30.86756
UCE-1143,Single,37.475951
UCE-1143,Mixture,27.10708
UCE-2889,Single,5.077029
UCE-2889,Mixture,33.95373
UCE-190,Single,12.76786
UCE-190,Mixture,23.76025
UCE-5494,Single,113.785661
UCE-5494,Mixture,162.0671
UCE-3812,Single,43.259285
UCE-3812,Mixture,73.15553
UCE-431,Single,18.735999
UCE-431,Mixture,116.1925
UCE-3658,Single,88.791868
UCE-3658,Mixture,49.82228
UCE-1678,Single,29.994345
UCE-1678,Mixture,12.66611
UCE-6393,Single,8.545473
UCE-6393,Mixture,33.6417
UCE-5343,Single,22.398159
UCE-5343,Mixture,72.61772
UCE-851,Single,56.76099
UCE-851,Mixture,263.0033
UCE-3539,Single,26.620542
UCE-3539,Mixture,79.22129
UCE-5129,Single,319.967396
UCE-5129,Mixture,382.6456
UCE-4305,Single,6.402999
UCE-4305,Mixture,36.9923
UCE-7970,Single,4.886591
UCE-7970,Mixture,34.15494
UCE-1059,Single,14.596577
UCE-1059,Mixture,53.41415
UCE-3309,Single,51.835737
UCE-3309,Mixture,114.4299
UCE-3387,Single,214.115406
UCE-3387,Mixture,62.4419
UCE-2177,Single,8.513906
UCE-2177,Mixture,26.60337
UCE-609,Single,480.857662
UCE-609,Mixture,1175.715
UCE-7361,Single,108.002087
UCE-7361,Mixture,328.9424
UCE-2446,Single,106.310759
UCE-2446,Mixture,44.71731
UCE-1239,Single,23.780132
UCE-1239,Mixture,40.91137
UCE-3879,Single,53.490158
UCE-3879,Mixture,73.79182
UCE-7958,Single,57.13333
UCE-7958,Mixture,71.7265
UCE-4285,Single,16.355549
UCE-4285,Mixture,64.50165
UCE-5598,Single,81.255351
UCE-5598,Mixture,76.68035
UCE-7709,Single,17.598535
UCE-7709,Mixture,74.79947
UCE-5459,Single,5.386947
UCE-5459,Mixture,17.95273
UCE-2585,Single,10.836445
UCE-2585,Mixture,14.76835
UCE-7774,Single,150.710813
UCE-7774,Mixture,303.2483
UCE-1209,Single,65.081671
UCE-1209,Mixture,10.87984
UCE-5532,Single,29.44038
UCE-5532,Mixture,57.11181
UCE-2230,Single,8.656032
UCE-2230,Mixture,49.39565
UCE-7685,Single,44.649797
UCE-7685,Mixture,57.24728
UCE-1430,Single,14.713394
UCE-1430,Mixture,34.25635
UCE-740,Single,36.633046
UCE-740,Mixture,67.77301
UCE-7490,Single,130.78441
UCE-7490,Mixture,96.83029
UCE-4555,Single,81.287945
UCE-4555,Mixture,34.12306
UCE-388,Single,55.82869
UCE-388,Mixture,42.06855
UCE-2063,Single,35.939796
UCE-2063,Mixture,16.01483
UCE-2595,Single,3.455881
UCE-2595,Mixture,13.33156
UCE-1705,Single,6.073912
UCE-1705,Mixture,17.79451
UCE-6534,Single,11.580415
UCE-6534,Mixture,31.42832
UCE-5396,Single,53.743059
UCE-5396,Mixture,36.58683
UCE-712,Single,29.583914
UCE-712,Mixture,101.9517
UCE-5011,Single,11.514346
UCE-5011,Mixture,27.3174
UCE-1334,Single,7.648566
UCE-1334,Mixture,18.76224
UCE-4208,Single,83.935229
UCE-4208,Mixture,116.4712
UCE-7201,Single,52.73428
UCE-7201,Mixture,96.32934
UCE-3291,Single,11.128284
UCE-3291,Mixture,85.93892
UCE-5920,Single,13.135849
UCE-5920,Mixture,19.21181
UCE-4205,Single,16.3001
UCE-4205,Mixture,30.34779
UCE-7940,Single,11.385083
UCE-7940,Mixture,50.24793
UCE-780,Single,32.451142
UCE-780,Mixture,36.83539
UCE-8046,Single,265.625474
UCE-8046,Mixture,61.75355
UCE-3233,Single,332.094347
UCE-3233,Mixture,131.155
UCE-3077,Single,76.030706
